"","Lacz.1","Lacz.2","Lacz.3","Yap.1","Yap.2","Yap.3"
"ENSMUSG00000027300_Ubox5",3.80190766147267,3.83981390416009,3.86644568560216,3.65222198501108,3.5841711524192,3.45599832609519
"ENSMUSG00000037703_Lzts3",1.92198000701146,1.65981830147832,1.8161836339544,2.02865680678287,2.12655147157637,1.96694203778333
"ENSMUSG00000068290_Ddrgk1",4.63503079373987,4.4963838325631,4.70803697267674,4.45355711640318,4.34992946621591,4.23045720426926
"ENSMUSG00000074797_Itpa",2.99276399193802,3.08146988998049,2.94048299628723,3.1721987268891,3.2016381868812,3.13130272437026
"ENSMUSG00000027309_4930402H24Rik",4.37435628257168,4.43534797897836,4.29216248052292,4.55152174109157,4.993655441886,4.44738015831061
"ENSMUSG00000027312_Atrn",7.15601343535344,7.13484619319995,7.17415428348984,6.9692006951559,6.87334337322182,6.70795673065149
"ENSMUSG00000027318_Adam33",-0.154441862629127,0.172745274057468,0.863426936784677,1.2335650410644,2.18018688298488,2.21092937239422
"ENSMUSG00000027322_Siglec1",-3.00693041844194,-1.87026226930541,-0.816573028294213,1.99251378542165,2.8288313209084,2.13409544307595
"ENSMUSG00000074793_Hspa12b",-0.945250975405337,-0.472552883434683,0.00839664670354284,-0.131421950883265,0.767210231565376,0.0748732768190686
"ENSMUSG00000027327_1700037H04Rik",0.742056964022199,0.597782762390447,0.89289752092159,0.649944991711459,1.29599107878197,0.720050637119273
"ENSMUSG00000027329_Spef1",-2.68041884001867,-1.98166187148557,-2.28746587853362,-0.837519146712465,-0.254583222821911,-0.868381553942229
"ENSMUSG00000027330_Cdc25b",0.261389949475717,0.538450671978537,0.614940375097161,1.12088960839592,1.8236406773213,1.63253530677639
"ENSMUSG00000068264_Ap5s1",2.80006766593478,2.87312954861028,3.0160860745408,2.43435361059211,2.44652132260196,2.43650057877325
"ENSMUSG00000037523_Mavs",4.5539101240041,4.53231010303741,4.82795168375424,4.3313720768119,4.299656790755,3.96457284151219
"ENSMUSG00000037514_Pank2",6.54962866156098,6.66353464200219,6.61068292302436,6.6031745338203,6.67952225225372,6.55716120781387
"ENSMUSG00000048911_Rnf24",2.10264090160265,2.24645936914251,2.05650819991074,2.61161464789812,2.90159778447159,2.36751563748793
"ENSMUSG00000086329_Gm14233",-1.60047298356414,-1.41445287845171,-0.985042678043698,-1.4831603469345,-1.4005306683422,-1.04521539500534
"ENSMUSG00000027333_Smox",8.48674782018301,8.64392204192264,8.35398001885059,9.47712781702577,9.11556833044085,8.75103651234246
"ENSMUSG00000027335_Adra1d",-3.42963956589037,-2.72194631137687,-2.94629307702315,-2.36840149885719,-0.927385375705076,-1.82434358176011
"ENSMUSG00000098754_Prn",0.0574955583195155,-0.0520031158452886,0.128882878136061,-0.544155014924106,-0.877822966972936,-1.29072197069812
"ENSMUSG00000027339_Rassf2",0.456707108587263,0.91015758314821,2.11186140645788,2.70670591348932,3.67622852370304,3.3844740793181
